12:48:03:630 [ALWAYS]	GUDE Logging Started
12:48:03:631 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
12:48:03:631 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
12:48:03:631 [ERROR]	Initialize resume cache pointer failure
12:48:03:631 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
12:48:03:631 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
12:48:07:965 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
12:48:07:965 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
12:48:07:965 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
12:48:07:965 [ERROR]	Initialize resume cache pointer failure
12:48:07:966 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
12:48:07:966 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
